diem,ngu_van,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_ly,gdcd
0,26,5,10,25,4,94,24
0.25,10,2,1,1,7,1,0
0.5,45,1,1,1,24,3,1
0.75,68,3,20,11,125,9,2
1,23,14,26,37,380,11,2
1.25,563,37,90,109,957,26,4
1.5,820,76,151,176,2351,42,12
1.75,984,162,334,364,4417,72,10
2,1667,277,612,620,8118,142,19
2.25,1879,494,984,1293,12773,250,45
2.5,2995,819,1519,1924,17921,390,56
2.75,3545,1223,2226,3000,23197,585,92
3,5471,1654,2957,4446,28359,799,113
3.25,6286,2319,3876,6443,31083,1131,170
3.5,9261,3199,4733,8857,33381,1615,305
3.75,11039,4275,5886,12247,34161,2135,376
4,15669,5483,6751,15363,34468,2993,579
4.25,15899,6870,7966,18299,34399,4027,819
4.5,21209,8403,8816,21491,33226,6134,1111
4.75,19645,9923,9797,23553,32078,8591,1581
5,36576,11734,10575,25053,30888,11809,2083
5.25,34062,13216,11386,25198,29554,16297,2727
5.5,46984,14780,12162,24625,27782,21550,3772
5.75,49332,16697,13227,22761,26488,27970,4978
6,67666,18068,13782,20935,24461,34965,6489
6.25,63635,19699,14820,18435,22986,41539,8537
6.5,79011,21277,15999,16058,20934,47203,11107
6.75,70018,22691,17572,13578,19150,52701,13730
7,80860,24018,19818,11462,17219,55115,17285
7.25,61989,25218,22463,9487,15253,54987,21016
7.5,67307,25506,25721,7876,13828,52209,25446
7.75,51504,24783,27138,6530,12253,46398,29990
8,51868,22154,26071,5185,10366,39808,35000
8.25,33091,17931,22441,4143,9053,32442,39779
8.5,29020,11663,16398,3375,7573,24503,44186
8.75,16919,6858,10620,2712,6242,17796,49057
9,10764,3176,5998,2139,4895,11887,51560
9.25,3181,1239,3051,1720,3425,7156,52868
9.5,951,360,1404,1410,2025,3867,50343
9.75,69,83,495,1090,935,1478,40169
10,3,14,149,582,266,227,18680
